#T1 T2 L2 LInf 
2.220000000000000000e+02 2.230000000000000000e+02 1.975681620842638349e-07 9.844277813639928532e-07
2.230000000000000000e+02 2.240000000000000000e+02 1.517812988919895618e-07 6.906840601452780074e-07
2.240000000000000000e+02 2.250000000000000000e+02 1.735537545303999360e-07 9.401076301121715651e-07
2.250000000000000000e+02 2.260000000000000000e+02 1.381146577242285384e-07 8.641296377639713640e-07
2.260000000000000000e+02 2.270000000000000000e+02 1.368230738545846236e-07 6.124635447274910397e-07
2.270000000000000000e+02 2.280000000000000000e+02 2.002813026981900965e-07 1.134862400297097981e-06
2.280000000000000000e+02 2.290000000000000000e+02 2.091235863466851796e-07 1.084037957361821199e-06
2.290000000000000000e+02 2.300000000000000000e+02 2.363497631998909969e-07 1.720938040251747338e-06
2.300000000000000000e+02 2.310000000000000000e+02 3.794144430854189358e-07 2.959960488365155335e-06
2.310000000000000000e+02 2.320000000000000000e+02 1.746977330242046857e-07 1.458417030799448997e-06
2.320000000000000000e+02 2.330000000000000000e+02 1.409124823124336211e-07 6.598067188419880550e-07
2.330000000000000000e+02 2.340000000000000000e+02 7.842859754988467359e-06 6.728415609867363439e-05
2.340000000000000000e+02 2.350000000000000000e+02 1.752360689621941102e-04 1.596596192610519370e-03
2.350000000000000000e+02 2.360000000000000000e+02 4.464002459750391195e-04 3.918272379270863401e-03
2.360000000000000000e+02 2.370000000000000000e+02 1.625153198845157520e-04 1.015030950136656517e-03
2.370000000000000000e+02 2.380000000000000000e+02 9.892223231463547774e-05 7.000188963174317934e-04
2.380000000000000000e+02 2.390000000000000000e+02 3.420525029768014006e-05 2.493140301272680766e-04
2.390000000000000000e+02 2.400000000000000000e+02 1.724293994333483748e-05 7.350537748914781839e-05
2.400000000000000000e+02 2.410000000000000000e+02 1.092993279315115981e-05 6.142865274123449917e-05
2.410000000000000000e+02 2.420000000000000000e+02 7.333229656122353430e-06 5.212994031751672400e-05
2.420000000000000000e+02 2.430000000000000000e+02 6.618851125513904111e-06 4.070356430008062812e-05
2.430000000000000000e+02 2.440000000000000000e+02 2.770493490106599142e-05 1.662067772421914932e-04
2.440000000000000000e+02 2.450000000000000000e+02 2.913621022566609904e-05 1.364800692747602389e-04
2.450000000000000000e+02 2.460000000000000000e+02 2.704152982484541169e-05 2.061515111363228410e-04
2.460000000000000000e+02 2.470000000000000000e+02 8.764462930752670619e-06 6.253531525955107319e-05
2.470000000000000000e+02 2.480000000000000000e+02 6.114567331990242554e-06 2.719447918454306261e-05
2.480000000000000000e+02 2.490000000000000000e+02 5.198308853001266831e-06 2.532260927957259418e-05
2.490000000000000000e+02 2.500000000000000000e+02 4.246615438409818700e-06 2.212389168056784448e-05
2.500000000000000000e+02 2.510000000000000000e+02 4.088006562905614969e-06 1.943845437568711280e-05
2.510000000000000000e+02 2.520000000000000000e+02 4.172132496771682987e-06 2.514939468688700668e-05
2.520000000000000000e+02 2.530000000000000000e+02 3.728558181536947734e-06 1.737207838248331002e-05
2.530000000000000000e+02 2.540000000000000000e+02 2.953646309327737521e-06 1.422022052523831827e-05
2.540000000000000000e+02 2.550000000000000000e+02 2.550054160926538104e-06 1.103028727634380060e-05
2.550000000000000000e+02 2.560000000000000000e+02 2.252977778902381397e-06 1.091441938487314027e-05
2.560000000000000000e+02 2.570000000000000000e+02 1.970426472503316410e-06 1.014246140401307062e-05
2.570000000000000000e+02 2.580000000000000000e+02 1.865107029850093832e-06 8.373897589474479935e-06
2.580000000000000000e+02 2.590000000000000000e+02 1.708731024306827452e-06 8.245059508865633919e-06
